id,origin,lon,lat,site,latloncheck
1223,Sala - PEW,3.16,39.956,FORMENTOR,3.1639.956
1224,Sala - PEW,3.135,39.946,FORMENTOR,3.13539.946
1225,Sala - PEW,3.135,39.946,FORMENTOR,3.13539.946
1226,Sala - PEW,3.135,39.946,FORMENTOR,3.13539.946
1227,Sala - PEW,3.172,39.959,FORMENTOR,3.17239.959
1228,Sala - PEW,3.172,39.959,FORMENTOR,3.17239.959
1229,Sala - PEW,3.172,39.959,FORMENTOR,3.17239.959
1230,Sala - PEW,3.192,39.956,FORMENTOR,3.19239.956
1231,Sala - PEW,3.192,39.956,FORMENTOR,3.19239.956
1232,Sala - PEW,3.192,39.956,FORMENTOR,3.19239.956
1233,Sala - PEW,3.198,39.943,FORMENTOR,3.19839.943
1234,Sala - PEW,3.198,39.943,FORMENTOR,3.19839.943
1235,Sala - PEW,3.198,39.943,FORMENTOR,3.19839.943
1236,Sala - PEW,9.131,44.36,GENOVA,9.13144.36
1237,Sala - PEW,9.131,44.36,GENOVA,9.13144.36
1238,Sala - PEW,9.131,44.36,GENOVA,9.13144.36
1239,Sala - PEW,9.126,44.362,GENOVA,9.12644.362
1240,Sala - PEW,9.126,44.362,GENOVA,9.12644.362
1241,Sala - PEW,9.126,44.362,GENOVA,9.12644.362
1242,Sala - PEW,9.092,44.371,GENOVA,9.09244.371
1243,Sala - PEW,9.092,44.371,GENOVA,9.09244.371
1244,Sala - PEW,9.092,44.371,GENOVA,9.09244.371
1245,Sala - PEW,9.107,44.367,GENOVA,9.10744.367
1246,Sala - PEW,9.107,44.367,GENOVA,9.10744.367
1247,Sala - PEW,9.107,44.367,GENOVA,9.10744.367
1248,Sala - PEW,9.077,44.375,GENOVA,9.07744.375
1249,Sala - PEW,9.077,44.375,GENOVA,9.07744.375
1250,Sala - PEW,9.077,44.375,GENOVA,9.07744.375
1251,Sala - PEW,9.053,44.378,GENOVA,9.05344.378
1252,Sala - PEW,9.053,44.378,GENOVA,9.05344.378
1253,Sala - PEW,9.053,44.378,GENOVA,9.05344.378
1254,Sala - PEW,28.079,37.021,GOKOVA,28.07937.021
1255,Sala - PEW,28.079,37.021,GOKOVA,28.07937.021
1256,Sala - PEW,28.079,37.021,GOKOVA,28.07937.021
1257,Sala - PEW,28.114,37.022,GOKOVA,28.11437.022
1258,Sala - PEW,28.114,37.022,GOKOVA,28.11437.022
1259,Sala - PEW,28.114,37.022,GOKOVA,28.11437.022
1260,Sala - PEW,28.161,37.029,GOKOVA,28.16137.029
1261,Sala - PEW,28.161,37.029,GOKOVA,28.16137.029
1262,Sala - PEW,28.161,37.029,GOKOVA,28.16137.029
1263,Sala - PEW,28.137,37.031,GOKOVA,28.13737.031
1264,Sala - PEW,28.137,37.031,GOKOVA,28.13737.031
1265,Sala - PEW,28.137,37.031,GOKOVA,28.13737.031
1266,Sala - PEW,28.055,37.024,GOKOVA,28.05537.024
1267,Sala - PEW,28.055,37.024,GOKOVA,28.05537.024
1268,Sala - PEW,28.055,37.024,GOKOVA,28.05537.024
1269,Sala - PEW,28.108,37.013,GOKOVA,28.10837.013
1270,Sala - PEW,28.108,37.013,GOKOVA,28.10837.013
1271,Sala - PEW,28.108,37.013,GOKOVA,28.10837.013
1272,Sala - PEW,24.752,37.583,GYAROS,24.75237.583
1273,Sala - PEW,24.752,37.583,GYAROS,24.75237.583
1274,Sala - PEW,24.752,37.583,GYAROS,24.75237.583
